feature,importance
log_int_rate,0.14655810600300376
int_rate,0.13948373050330273
loan_inc_ratio,0.13250849729123354
log_annual_inc,0.09834156638037875
annual_inc,0.08198709036735341
installment_inc_ratio,0.07620265428965961
grade_encoded,0.07196371184634909
dti_grade_interaction,0.06860039327397147
installment,0.03826379703934084
dti,0.038072707745016955
loan_amnt,0.028093715371960468
log_loan_amnt,0.025604402197075618
purpose_encoded,0.02270163867684927
emp_length_numeric,0.019623828585642874
verification_status_encoded,0.007344672220809586
home_ownership_encoded,0.00464948820805205
